Book Name,Author,Rating,Number of Reviews,Price,Description,Listening Time,Ranks and Genre,Book Name_clean,Language,Genres,Ranks,Best rank
"dont you know who i am?: how to stay sane in an era of narcissism, entitlement, and incivility",ramani s. durvasula phd,4.8,170.0,836.0,"dont you know who i am how to stay sane in an era of narcissism, entitlement, and incivilitybyramani s. durvasula phd-genre:rownone",0,#949 not available,"dont you know who i am how to stay sane in an era of narcissism, entitlement, and incivility",english,not available,949.0,949.0
girlboss,sophia amoruso,4.5,2272.0,615.0,"sorry, we just need to make sure youre not a robot. for best results, please make sure your browser is accepting cookies.",0,#949 not available,girlboss,english,not available,949.0,949.0
"therealcinderella: bestfriendsforever series, book 1",yesenia vargas,4.3,179.0,586.0,"oops! its rush hour and traffic is piling up on that page. please try again in a short while.if you were trying to place an order, it will not have been processed at this time. go to the amazon.in home page to continue shopping",0,#949 not available,"therealcinderella bestfriendsforever series, book 1",english,not available,949.0,949.0
10 essential success mantras from the bhagavad gita (rupa quick reads),vimla patil,4.2,45.0,233.0,"for thousands of years, the bhagavad gita has inspired millions of saints, leaders, scientists, philosophers and ordinary people around the world. in this quick read, vimla patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level.",26,",#3,076 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#45 in hinduism (audible audiobooks & originals),#57 in forecasting & strategic planning,#136 in leadership",10 essential success mantras from the bhagavad gita (rupa quick reads),english,"audible audiobooks & originals,hinduism,forecasting & strategic planning,leadership","[76, 45, 57, 136]",45.0
10 judgements that changed india,zia mody,4.4,221.0,502.0,10 judgements that changed indiabyzia mody-genre:rownone,0,#949 not available,10 judgements that changed india,english,not available,949.0,949.0
10 masterpieces you have to read before you die 1,jane austen,4.4,344.0,401.0,this audiobook contains the following works :,6139,",#1,485 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#4 in caribbean & latin american literature,#6 in english, irish, scottish & welsh literature,#77 in classic literature",10 masterpieces you have to read before you die 1,english,"audible audiobooks & originals,caribbean & latin american literature,english,classic literature","[485, 4, 6, 77]",4.0
10 minutes 38 seconds in this strange world,elif shafak,4.5,520.0,752.0,shortlisted for the booker prize 2019,551,",#221 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in friendship fiction,#3 in women's fiction,#3 in political fiction",10 minutes 38 seconds in this strange world,english,"audible audiobooks & originals,friendship fiction,women's fiction,political fiction","[221, 1, 3, 3]",1.0
10 skills for effective business communication: practical strategies from the worlds greatest leaders,jessica higgins jd mba bb,4.6,45.0,501.0,succeed in business with practical career strategies and communication skills from the worlds greatest leaders in 10 skills for effective business communication.,0,#949 not available,10 skills for effective business communication practical strategies from the worlds greatest leaders,english,not available,949.0,949.0
10 steps to earning awesome grades (while studying less),thomas frank,4.6,266.0,335.0,10 steps to earning awesome grades (while studying less)bythomas frank-genre:rownone,0,#949 not available,10 steps to earning awesome grades (while studying less),english,not available,949.0,949.0
100 baggers: stocks that return 100-to-1 and how to find them,christopher w. mayer,4.5,178.0,668.0,"this book is about 100-baggers. these are stocks that return $100 for every $1 invested. that means a $10,000 investment turns into $1 million. chris mayer can help you find them.",379,",#2,004 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#184 in money & finance,#4,461 in business & economics",100 baggers stocks that return 100-to-1 and how to find them,english,"audible audiobooks & originals,money & finance,business & economics","[4, 184, 461]",4.0
100 desi stories to inspire you,madhur zakir hallegua,4.8,7.0,668.0,100 desi stories to inspire youbymadhur zakir hallegua-genre:rownone,0,#949 not available,100 desi stories to inspire you,english,not available,949.0,949.0
100 side hustles: unexpected ideas for making extra money without quitting your day job,chris guillebeau,4.6,165.0,1005.0,100 side hustles unexpected ideas for making extra money without quitting your day jobbychris guillebeau-genre:rownone,0,#949 not available,100 side hustles unexpected ideas for making extra money without quitting your day job,english,not available,949.0,949.0
100 tips to crack the iit,paras arora,4.2,132.0,1005.0,100 tips to crack the iitbyparas arora-genre:rownone,0,#949 not available,100 tips to crack the iit,english,not available,949.0,949.0
1000+ little things happy successful people do differently,marc chernoff,4.7,210.0,1005.0,new york times best-selling authors marc and angel chernoff deliver instant inspiration and powerful advice for becoming our best selves.,530,",#719 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#128 in personal success,#1,706 in personal development & self-help",1000+ little things happy successful people do differently,english,"audible audiobooks & originals,personal success,personal development & self-help","[719, 128, 706]",128.0
101 amazing facts about the royal family,jack goldstein,2.6,15.0,152.0,"are you a fan of the modern generation of royals? how much do you know about the lives of prince william; his wife, catherine, duchess of cambridge; and the rest of the royal family?",30,",#29,652 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#39 in biographies of royalty,#48,605 in biographies & autobiographies (books),#422,865 in textbooks & study guides",101 amazing facts about the royal family,english,"audible audiobooks & originals,biographies of royalty,biographies & autobiographies,textbooks & study guides","[652, 39, 605, 865]",39.0
101 amazing facts about trees,jack goldstein,5.0,1.0,152.0,how can you use a tree as a compass? what on earth makes maple trees explode? where is the tallest tree in the world? and how can a tree own itself?,35,",#29,657 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#3 in audiobooks on flowers & trees for children,#36 in botany & plants,#14,830 in children's science, nature & technology (books)",101 amazing facts about trees,english,"audible audiobooks & originals,audiobooks on flowers & trees for children,botany & plants,children's science","[657, 3, 36, 830]",3.0
101 animals stories,dreamland publications,4.3,560.0,233.0,"sorry, we just need to make sure youre not a robot. for best results, please make sure your browser is accepting cookies.",0,#949 not available,101 animals stories,english,not available,949.0,949.0
101 bedtime stories,dreamland publications,3.9,461.0,233.0,101 bedtime storiesbydreamland publications-genre:rownone,0,#949 not available,101 bedtime stories,english,not available,949.0,949.0
101 best indian fables for children,stuti gupta,3.7,23.0,233.0,would you like to meet the ferocious king of the jungle? how about listening to the story of the cunning fox that talks its way out of tricky situations? wonder what the little monkey is doing with the looking glass? or what the peacock and crow are fighting over?,146,",#3,958 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#42 in fairy tales, folk tales & myths for children,#255 in literature & fiction for children,#1,094 in children's traditional stories (books)",101 best indian fables for children,english,"audible audiobooks & originals,fairy tales,literature & fiction for children,children's traditional stories","[958, 42, 255, 94]",42.0
101 essays that will change the way you think,brianna wiest,4.5,104.0,586.0,"sorry, we just need to make sure youre not a robot. for best results, please make sure your browser is accepting cookies.",0,#949 not available,101 essays that will change the way you think,english,not available,949.0,949.0
101 fairy tales book,dreamland publications,4.3,386.0,233.0,"this volume is a collection of the most memorable fairy tales for young learners. short and easy adaptations of stories invite young minds to enjoy the world of fantasy, dreams, fairies, elves, princesses, knights, demons and magicians. popular tales like cinderella, beauty and the beast, snow white and the seven dwarfs, thumbelina, sleeping beauty, alice in wonderland, aladdin, pinocchio, peter pan and more introduce listeners to these cherished characters through a simple and easy-to-follow retelling. favourites from the animal kingdom are presented in tales like the jungle book, goldilocks and the three bears, the monkey and the crab, three naughty little rabbits, bambi and others.",0,#949 not available,101 fairy tales book,english,not available,949.0,949.0
101 great answers to the toughest interview questions,ron fry,4.6,9.0,398.0,101 great answers to the toughest interview questionsbyron fry-genre:rownone,0,#949 not available,101 great answers to the toughest interview questions,english,not available,949.0,949.0
101 jungle stories,om books international,3.9,47.0,233.0,101 jungle storiesbyom books international-genre:rownone,0,#949 not available,101 jungle stories,english,not available,949.0,949.0
101 panchatantra stories,om books international,4.1,237.0,233.0,"the panchatantra is a collection of short stories from india, written more than 5,000 years ago! this is a collection of stories from that legendary collection. the stories inculcate moral values in children in a subtle and fun manner. enjoy the stories, where plants and animals can converse with human beings too!",146,",#1,059 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#10 in contemporary fiction (audible audiobooks & originals),#16 in fiction short stories,#451 in short stories (books)",101 panchatantra stories,english,"audible audiobooks & originals,contemporary fiction,fiction short stories,short stories","[59, 10, 16, 451]",10.0
101 panchtantra stories,dreamland publications,4.3,1625.0,233.0,"the panchatantra is a collection of short stories from india, which was written mainly for children more than 2,000 years ago. this book contains a few hand-picked stories from that legendary collection.",101,",#536 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#8 in fairy tales, folk tales & myths for children,#30 in literature & fiction for children,#184 in children's traditional stories (books)",101 panchtantra stories,english,"audible audiobooks & originals,fairy tales,literature & fiction for children,children's traditional stories","[536, 8, 30, 184]",8.0
101 power thoughts,louise l. hay,4.4,173.0,257.0,"sample thought: i can release the past and forgive everyone. i free myself and everyone in my life from old, past hurts. they are free and i am free to move into new, glorious experiences.",0,#949 not available,101 power thoughts,english,not available,949.0,949.0
11 hours: a romantic thriller,daniel paul singh,4.2,457.0,668.0,11 hours a romantic thrillerbydaniel paul singh-genre:rownone,0,#949 not available,11 hours a romantic thriller,english,not available,949.0,949.0
"12 months to $1 million: how to pick a winning product, build a real business, and become a seven-figure entrepreneur",ryan daniel moran,4.8,201.0,668.0,"oops! its rush hour and traffic is piling up on that page. please try again in a short while.if you were trying to place an order, it will not have been processed at this time. go to the amazon.in home page to continue shopping",0,#949 not available,"12 months to $1 million how to pick a winning product, build a real business, and become a seven-figure entrepreneur",english,not available,949.0,949.0
12 rules for life: an antidote to chaos,jordan b. peterson,4.6,14042.0,1093.0,12 rules for life an antidote to chaosbyjordan b. peterson-genre:rownone,0,#949 not available,12 rules for life an antidote to chaos,english,not available,949.0,949.0
13 steps to bloody good luck,ashwin sanghi,4.2,686.0,501.0,the journey of life isnt exactly easy. some people make it through hard work and talent. some fall by the wayside. and some people are just plain lucky. they are blessed with bloody good luck! but is it possible to attract good luck? can we train ourselves to be lucky? apparently it seems that dame luck isnt that fickle. she is well within our reach.,0,#949 not available,13 steps to bloody good luck,english,not available,949.0,949.0
13 steps to bloody good wealth,ashwin sanghi,4.3,319.0,501.0,the only way to become wealthy is by being born wealthy. right? wrong!,260,",#3,141 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#29 in indian literature (audible audiobooks & originals),#101 in personal finance,#437 in personal success",13 steps to bloody good wealth,english,"audible audiobooks & originals,indian literature,personal finance,personal success","[141, 29, 101, 437]",29.0
"13 things mentally strong parents dont do: raising self-assured children and training their brains for a life of happiness, meaning, and success",amy morin,4.6,150.0,12356.0,"13 things mentally strong parents dont do raising self-assured children and training their brains for a life of happiness, meaning, and successbyamy morin-genre:rownone",0,#949 not available,"13 things mentally strong parents dont do raising self-assured children and training their brains for a life of happiness, meaning, and success",english,not available,949.0,949.0
"13 things mentally strong people dont do: take back your power, embrace change, face your fears, and train your brain for happiness and success",amy morin,4.6,1365.0,10378.0,"everyone knows that regular exercise and weight training lead to physical strength. but how do we strengthen ourselves mentally for the truly tough times? and what should we do when we face these challenges? or as psychotherapist amy morin asks, what should we avoid when we encounter adversity? through her years counseling others and her own experiences navigating personal loss, morin realized it is often the habits we cannot break that are holding us back from true success and happiness. indulging in self-pity or agonizing over things beyond our control, obsessing over past events, resenting the achievements of others, or expecting immediate positive results all hold us back.",396,",#1,977 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#59 in business motivation & self-improvement,#291 in personal success,#3,126 in analysis & strategy","13 things mentally strong people dont do take back your power, embrace change, face your fears, and train your brain for happiness and success",english,"audible audiobooks & originals,business motivation & self-improvement,personal success,analysis & strategy","[977, 59, 291, 126]",59.0
14,peter clines,4.3,811.0,836.0,14bypeter clines-genre:rownone,0,#949 not available,14,english,not available,949.0,949.0
